Código,Nombre,Descripción,Pes,Coste
TRO.I16.SA.70X2,Tub rodó inox 316 satinat 70x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,3.48,7.3
TRO.I16.SA.76.1X3,Tub rodó inox 316 satinat 76.1x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,5.63,7.3
TRO.I16.SA.76.1X4,Tub rodó inox 316 satinat 76.1x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,7.39,7.3
TRO.I16.SA.76.1X5,Tub rodó inox 316 satinat 76.1x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,9.12,7.3
TRO.I16.SA.76.1X6,Tub rodó inox 316 satinat 76.1x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,10.83,7.3
TRO.I16.SA.80X1.5,Tub rodó inox 316 satinat 80x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,3.02,7.3
TRO.I16.SA.80X2,Tub rodó inox 316 satinat 80x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,4,7.3
TRO.I16.SA.80X3,Tub rodó inox 316 satinat 80x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,5.93,7.3
TRO.I16.SA.88.9X4,Tub rodó inox 316 satinat 88.9x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,8.72,7.3
TRO.I16.SA.88.9X5,Tub rodó inox 316 satinat 88.9x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,10.71,7.3
TRO.I16.SA.88.9X6,Tub rodó inox 316 satinat 88.9x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,12.79,7.3
TRO.I16.SA.90X1.5,Tub rodó inox 316 satinat 90x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,3.4,7.3
TRO.I16.SA.90X2,Tub rodó inox 316 satinat 90x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,4.51,7.3
TRO.I16.SA.90X3,Tub rodó inox 316 satinat 90x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,6.7,7.3
TRO.I16.SA.100X2,Tub rodó inox 316 satinat 100x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,5.02,7.3
TRO.I16.SA.100X3,Tub rodó inox 316 satinat 100x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,7.47,7.3
TRO.I16.SA.100X5,Tub rodó inox 316 satinat 100x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,12.17,7.3
TRO.I16.SA.100X6,Tub rodó inox 316 satinat 100x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,14.47,7.3
TRO.I16.SA.100X8,Tub rodó inox 316 satinat 100x8,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,18.93,7.3
TRO.I16.SA.101.6X4,Tub rodó inox 316 satinat 101.6x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,10.02,7.3
TRO.I16.SA.101.6X5,Tub rodó inox 316 satinat 101.6x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,12.38,7.3
TRO.I16.SA.101.6X6,Tub rodó inox 316 satinat 101.6x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,14.66,7.3
TRO.I16.SA.101.6X8,Tub rodó inox 316 satinat 101.6x8,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,19.24,7.3
TRO.I16.SA.113X2,Tub rodó inox 316 satinat 113x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,5.69,7.3
TRO.I16.SA.113X3,Tub rodó inox 316 satinat 113x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,8.47,7.3
TRO.I16.SA.113X4,Tub rodó inox 316 satinat 113x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,11.23,7.3
TRO.I16.SA.113X5,Tub rodó inox 316 satinat 113x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,13.83,7.3
TRO.I16.SA.113X6,Tub rodó inox 316 satinat 113x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,16.43,7.3
TRO.I16.SA.114.3X3,Tub rodó inox 316 satinat 114.3x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,8.56,7.3
TRO.I16.SA.114.3X4,Tub rodó inox 316 satinat 114.3x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,11.34,7.3
TRO.I16.SA.114.3X5,Tub rodó inox 316 satinat 114.3x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,14.04,7.3
TRO.I16.SA.114.3X6,Tub rodó inox 316 satinat 114.3x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,16.64,7.3
TRO.I16.SA.114.3X8,Tub rodó inox 316 satinat 114.3x8,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,21.84,7.3
TRO.I16.SA.120X2,Tub rodó inox 316 satinat 120x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,6.05,7.3
TRO.I16.SA.120X3,Tub rodó inox 316 satinat 120x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,9.01,7.3
TRO.I16.SA.120X4,Tub rodó inox 316 satinat 120x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,11.86,7.3
TRO.I16.SA.125X4,Tub rodó inox 316 satinat 125x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,12.38,7.3
TRO.I16.SA.125X5,Tub rodó inox 316 satinat 125x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,15.39,7.3
TRO.I16.SA.125X6,Tub rodó inox 316 satinat 125x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,18.3,7.3
TRO.I16.SA.125X8,Tub rodó inox 316 satinat 125x8,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,24.02,7.3
TRO.I16.SA.125X10,Tub rodó inox 316 satinat 125x10,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,29.54,7.3
TRO.I16.SA.139.7X8,Tub rodó inox 316 satinat 139.7x8,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,27.04,7.3
TRO.I16.SA.139.7X10,Tub rodó inox 316 satinat 139.7x10,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,33.28,7.3
TRO.I16.SA.159X8,Tub rodó inox 316 satinat 159x8,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,30.99,7.3
TRO.I16.SA.164X4,Tub rodó inox 316 satinat 164x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,16.43,7.3
TRO.I16.SA.168.3X4,Tub rodó inox 316 satinat 168.3x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,16.85,7.3
TRO.I16.SA.168.3X5,Tub rodó inox 316 satinat 168.3x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,20.9,7.3
TRO.I16.SA.168.3X6,Tub rodó inox 316 satinat 168.3x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,24.96,7.3
TRO.I16.SA.168.3X7,Tub rodó inox 316 satinat 168.3x7,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,29.02,7.3
TRO.I16.SA.168.3X8,Tub rodó inox 316 satinat 168.3x8,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,32.97,7.3
TRO.I16.SA.168.3X10,Tub rodó inox 316 satinat 168.3x10,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,40.56,7.3
TRO.I16.SA.168.3X12,Tub rodó inox 316 satinat 168.3x12,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,48.15,7.3
TRO.I16.SA.168.3X12.5,Tub rodó inox 316 satinat 168.3x12.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 SATI,49.92,7.3
TRO.I16.BRI.10X1,Tub rodó inox 316 brillant 10x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.23,7.4
TRO.I16.BRI.12X1,Tub rodó inox 316 brillant 12x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.28,7.4
TRO.I16.BRI.12X1.5,Tub rodó inox 316 brillant 12x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.4,7.4
TRO.I16.BRI.14X1,Tub rodó inox 316 brillant 14x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.33,7.4
TRO.I16.BRI.14X1.5,Tub rodó inox 316 brillant 14x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.48,7.4
TRO.I16.BRI.15X1,Tub rodó inox 316 brillant 15x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.35,7.4
TRO.I16.BRI.15X1.5,Tub rodó inox 316 brillant 15x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.52,7.4
TRO.I16.BRI.16X1,Tub rodó inox 316 brillant 16x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.38,7.4
TRO.I16.BRI.16X1.5,Tub rodó inox 316 brillant 16x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.56,7.4
TRO.I16.BRI.18X1,Tub rodó inox 316 brillant 18x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.44,7.4
TRO.I16.BRI.18X1.5,Tub rodó inox 316 brillant 18x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.63,7.4
TRO.I16.BRI.20X1,Tub rodó inox 316 brillant 20x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.5,7.4
TRO.I16.BRI.20X1.5,Tub rodó inox 316 brillant 20x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.71,7.4
TRO.I16.BRI.20X2,Tub rodó inox 316 brillant 20x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.92,7.4
TRO.I16.BRI.22X1,Tub rodó inox 316 brillant 22x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.5,7.4
TRO.I16.BRI.22X1.5,Tub rodó inox 316 brillant 22x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.79,7.4
TRO.I16.BRI.22X2,Tub rodó inox 316 brillant 22x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.03,7.4
TRO.I16.BRI.25X1,Tub rodó inox 316 brillant 25x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.6,7.4
TRO.I16.BRI.25X1.5,Tub rodó inox 316 brillant 25x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.9,7.4
TRO.I16.BRI.25X2,Tub rodó inox 316 brillant 25x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.18,7.4
TRO.I16.BRI.28X1,Tub rodó inox 316 brillant 28x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.7,7.4
TRO.I16.BRI.28X1.5,Tub rodó inox 316 brillant 28x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.02,7.4
TRO.I16.BRI.30X1,Tub rodó inox 316 brillant 30x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.7,7.4
TRO.I16.BRI.30X1.5,Tub rodó inox 316 brillant 30x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.09,7.4
TRO.I16.BRI.30X2,Tub rodó inox 316 brillant 30x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.44,7.4
TRO.I16.BRI.32X1,Tub rodó inox 316 brillant 32x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.8,7.4
TRO.I16.BRI.32X1.5,Tub rodó inox 316 brillant 32x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.18,7.4
TRO.I16.BRI.35X1,Tub rodó inox 316 brillant 35x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,0.9,7.4
TRO.I16.BRI.35X1.5,Tub rodó inox 316 brillant 35x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.29,7.4
TRO.I16.BRI.35X2,Tub rodó inox 316 brillant 35x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.7,7.4
TRO.I16.BRI.38X1,Tub rodó inox 316 brillant 38x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1,7.4
TRO.I16.BRI.38X1.5,Tub rodó inox 316 brillant 38x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.4,7.4
TRO.I16.BRI.40X1,Tub rodó inox 316 brillant 40x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1,7.4
TRO.I16.BRI.40X1.5,Tub rodó inox 316 brillant 40x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.48,7.4
TRO.I16.BRI.40X2,Tub rodó inox 316 brillant 40x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.94,7.4
TRO.I16.BRI.42X1,Tub rodó inox 316 brillant 42x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.1,7.4
TRO.I16.BRI.42X1.5,Tub rodó inox 316 brillant 42x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.56,7.4
TRO.I16.BRI.42X2,Tub rodó inox 316 brillant 42x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,2.05,7.4
TRO.I16.BRI.43X1,Tub rodó inox 316 brillant 43x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.1,7.4
TRO.I16.BRI.43X1.5,Tub rodó inox 316 brillant 43x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.56,7.4
TRO.I16.BRI.43X2,Tub rodó inox 316 brillant 43x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,2.05,7.4
TRO.I16.BRI.45X1,Tub rodó inox 316 brillant 45x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.1,7.4
TRO.I16.BRI.45X1.5,Tub rodó inox 316 brillant 45x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.67,7.4
TRO.I16.BRI.45X2,Tub rodó inox 316 brillant 45x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,2.2,7.4
TRO.I16.BRI.48X1,Tub rodó inox 316 brillant 48x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.2,7.4
TRO.I16.BRI.48X1.5,Tub rodó inox 316 brillant 48x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.79,7.4
TRO.I16.BRI.48X2,Tub rodó inox 316 brillant 48x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,2.36,7.4
TRO.I16.BRI.48.3X3,Tub rodó inox 316 brillant 48.3x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,3.48,7.4
TRO.I16.BRI.50X1,Tub rodó inox 316 brillant 50x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.3,7.4
TRO.I16.BRI.50X1.5,Tub rodó inox 316 brillant 50x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.86,7.4
TRO.I16.BRI.50X2,Tub rodó inox 316 brillant 50x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,2.46,7.4
TRO.I16.BRI.50X3,Tub rodó inox 316 brillant 50x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,3.62,7.4
TRO.I16.BRI.60X1,Tub rodó inox 316 brillant 60x1,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,1.5,7.4
TRO.I16.BRI.60X1.5,Tub rodó inox 316 brillant 60x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,2.25,7.4
TRO.I16.BRI.60X2,Tub rodó inox 316 brillant 60x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,2.97,7.4
TRO.I16.BRI.60.3X3,Tub rodó inox 316 brillant 60.3x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,4.41,7.4
TRO.I16.BRI.60.3X4,Tub rodó inox 316 brillant 60.3x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,5.77,7.4
TRO.I16.BRI.70X1.5,Tub rodó inox 316 brillant 70x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,2.63,7.4
TRO.I16.BRI.70X2,Tub rodó inox 316 brillant 70x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,3.48,7.4
TRO.I16.BRI.76.1X3,Tub rodó inox 316 brillant 76.1x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,5.63,7.4
TRO.I16.BRI.76.1X4,Tub rodó inox 316 brillant 76.1x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,7.39,7.4
TRO.I16.BRI.76.1X5,Tub rodó inox 316 brillant 76.1x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,9.12,7.4
TRO.I16.BRI.76.1X6,Tub rodó inox 316 brillant 76.1x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,10.83,7.4
TRO.I16.BRI.80X1.5,Tub rodó inox 316 brillant 80x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,3.02,7.4
TRO.I16.BRI.80X2,Tub rodó inox 316 brillant 80x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,4,7.4
TRO.I16.BRI.80X3,Tub rodó inox 316 brillant 80x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,5.93,7.4
TRO.I16.BRI.88.9X4,Tub rodó inox 316 brillant 88.9x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,8.72,7.4
TRO.I16.BRI.88.9X5,Tub rodó inox 316 brillant 88.9x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,10.71,7.4
TRO.I16.BRI.88.9X6,Tub rodó inox 316 brillant 88.9x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,12.79,7.4
TRO.I16.BRI.90X1.5,Tub rodó inox 316 brillant 90x1.5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,3.4,7.4
TRO.I16.BRI.90X2,Tub rodó inox 316 brillant 90x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,4.51,7.4
TRO.I16.BRI.90X3,Tub rodó inox 316 brillant 90x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,6.7,7.4
TRO.I16.BRI.100X2,Tub rodó inox 316 brillant 100x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,5.02,7.4
TRO.I16.BRI.100X3,Tub rodó inox 316 brillant 100x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,7.47,7.4
TRO.I16.BRI.100X5,Tub rodó inox 316 brillant 100x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,12.17,7.4
TRO.I16.BRI.100X6,Tub rodó inox 316 brillant 100x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,14.47,7.4
TRO.I16.BRI.100X8,Tub rodó inox 316 brillant 100x8,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,18.93,7.4
TRO.I16.BRI.101.6X4,Tub rodó inox 316 brillant 101.6x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,10.02,7.4
TRO.I16.BRI.101.6X5,Tub rodó inox 316 brillant 101.6x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,12.38,7.4
TRO.I16.BRI.101.6X6,Tub rodó inox 316 brillant 101.6x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,14.66,7.4
TRO.I16.BRI.101.6X8,Tub rodó inox 316 brillant 101.6x8,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,19.24,7.4
TRO.I16.BRI.113X2,Tub rodó inox 316 brillant 113x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,5.69,7.4
TRO.I16.BRI.113X3,Tub rodó inox 316 brillant 113x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,8.47,7.4
TRO.I16.BRI.113X4,Tub rodó inox 316 brillant 113x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,11.23,7.4
TRO.I16.BRI.113X5,Tub rodó inox 316 brillant 113x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,13.83,7.4
TRO.I16.BRI.113X6,Tub rodó inox 316 brillant 113x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,16.43,7.4
TRO.I16.BRI.114.3X3,Tub rodó inox 316 brillant 114.3x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,8.56,7.4
TRO.I16.BRI.114.3X4,Tub rodó inox 316 brillant 114.3x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,11.34,7.4
TRO.I16.BRI.114.3X5,Tub rodó inox 316 brillant 114.3x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,14.04,7.4
TRO.I16.BRI.114.3X6,Tub rodó inox 316 brillant 114.3x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,16.64,7.4
TRO.I16.BRI.114.3X8,Tub rodó inox 316 brillant 114.3x8,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,21.84,7.4
TRO.I16.BRI.120X2,Tub rodó inox 316 brillant 120x2,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,6.05,7.4
TRO.I16.BRI.120X3,Tub rodó inox 316 brillant 120x3,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,9.01,7.4
TRO.I16.BRI.120X4,Tub rodó inox 316 brillant 120x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,11.86,7.4
TRO.I16.BRI.125X4,Tub rodó inox 316 brillant 125x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,12.38,7.4
TRO.I16.BRI.125X5,Tub rodó inox 316 brillant 125x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,15.39,7.4
TRO.I16.BRI.125X6,Tub rodó inox 316 brillant 125x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,18.3,7.4
TRO.I16.BRI.125X8,Tub rodó inox 316 brillant 125x8,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,24.02,7.4
TRO.I16.BRI.125X10,Tub rodó inox 316 brillant 125x10,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,29.54,7.4
TRO.I16.BRI.139.7X8,Tub rodó inox 316 brillant 139.7x8,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,27.04,7.4
TRO.I16.BRI.139.7X10,Tub rodó inox 316 brillant 139.7x10,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,33.28,7.4
TRO.I16.BRI.159X8,Tub rodó inox 316 brillant 159x8,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,30.99,7.4
TRO.I16.BRI.164X4,Tub rodó inox 316 brillant 164x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,16.43,7.4
TRO.I16.BRI.168.3X4,Tub rodó inox 316 brillant 168.3x4,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,16.85,7.4
TRO.I16.BRI.168.3X5,Tub rodó inox 316 brillant 168.3x5,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,20.9,7.4
TRO.I16.BRI.168.3X6,Tub rodó inox 316 brillant 168.3x6,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,24.96,7.4
TRO.I16.BRI.168.3X7,Tub rodó inox 316 brillant 168.3x7,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,29.02,7.4
TRO.I16.BRI.168.3X8,Tub rodó inox 316 brillant 168.3x8,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,32.97,7.4
TRO.I16.BRI.168.3X10,Tub rodó inox 316 brillant 168.3x10,M.PRIMERA/TRASPAS EXCEL FERRO/INOX/TUB ROD 16 BRILL,40.56,7.4
